Epoch: 0, Test loss: 2.311519994544983, Accuracy: 1101/10000 (11.01%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 1, Test loss: 0.43421008647589476, Accuracy: 8575/10000 (85.75%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 2, Test loss: 0.39120576824910674, Accuracy: 8572/10000 (85.72%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 3, Test loss: 0.3713897836873788, Accuracy: 8678/10000 (86.78%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)

Epoch: 0, Test loss: 2.3121966499328614, Accuracy: 757/10000 (7.57%), Batch Size: 8, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 1, Test loss: 0.3888104473037645, Accuracy: 8653/10000 (86.53%), Batch Size: 8, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 2, Test loss: 0.4216575007740408, Accuracy: 8660/10000 (86.60%), Batch Size: 8, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 3, Test loss: 0.3899525214374982, Accuracy: 8543/10000 (85.43%), Batch Size: 8, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)

Epoch: 0, Test loss: 2.3087265743255614, Accuracy: 1021/10000 (10.21%), Batch Size: 16, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 1, Test loss: 0.457099863575364, Accuracy: 8474/10000 (84.74%), Batch Size: 16, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 2, Test loss: 0.4117214985380182, Accuracy: 8687/10000 (86.87%), Batch Size: 16, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 3, Test loss: 0.3619622194149066, Accuracy: 8784/10000 (87.84%), Batch Size: 16, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)

Epoch: 0, Test loss: 2.3044330991744997, Accuracy: 419/10000 (4.19%), Batch Size: 32, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 1, Test loss: 0.45569090433543313, Accuracy: 8247/10000 (82.47%), Batch Size: 32, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 2, Test loss: 0.3766979741075542, Accuracy: 8669/10000 (86.69%), Batch Size: 32, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 3, Test loss: 0.36140425661605696, Accuracy: 8684/10000 (86.84%), Batch Size: 32, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)

Epoch: 0, Test loss: 2.305634510612488, Accuracy: 1019/10000 (10.19%), Batch Size: 64, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 1, Test loss: 0.4174690078451764, Accuracy: 8510/10000 (85.10%), Batch Size: 64, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 2, Test loss: 0.3742919270730985, Accuracy: 8618/10000 (86.18%), Batch Size: 64, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 3, Test loss: 0.3652560843659798, Accuracy: 8654/10000 (86.54%), Batch Size: 64, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)

Epoch: 0, Test loss: 2.3150312635421755, Accuracy: 888/10000 (8.88%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.1, inplace=False)
Epoch: 1, Test loss: 0.3938683780565276, Accuracy: 8540/10000 (85.40%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.1, inplace=False)
Epoch: 2, Test loss: 0.34109395078330634, Accuracy: 8735/10000 (87.35%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.1, inplace=False)
Epoch: 3, Test loss: 0.3700602489313842, Accuracy: 8609/10000 (86.09%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.1, inplace=False)

Epoch: 0, Test loss: 2.3042700991630554, Accuracy: 1132/10000 (11.32%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.2, inplace=False)
Epoch: 1, Test loss: 0.39059875102108055, Accuracy: 8585/10000 (85.85%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.2, inplace=False)
Epoch: 2, Test loss: 0.3786384611391466, Accuracy: 8551/10000 (85.51%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.2, inplace=False)
Epoch: 3, Test loss: 0.3511890201086234, Accuracy: 8683/10000 (86.83%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.2, inplace=False)

Epoch: 0, Test loss: 2.3140298816680906, Accuracy: 435/10000 (4.35%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.3, inplace=False)
Epoch: 1, Test loss: 0.4351209631238366, Accuracy: 8513/10000 (85.13%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.3, inplace=False)
Epoch: 2, Test loss: 0.3749791338701558, Accuracy: 8560/10000 (85.60%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.3, inplace=False)
Epoch: 3, Test loss: 0.3278455484806764, Accuracy: 8802/10000 (88.02%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.3, inplace=False)

Epoch: 0, Test loss: 2.298093233680725, Accuracy: 1462/10000 (14.62%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.4, inplace=False)
Epoch: 1, Test loss: 0.4167483782157302, Accuracy: 8524/10000 (85.24%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.4, inplace=False)
Epoch: 2, Test loss: 0.3605806904954705, Accuracy: 8752/10000 (87.52%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.4, inplace=False)
Epoch: 3, Test loss: 0.35290145861302447, Accuracy: 8782/10000 (87.82%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.4, inplace=False)

Epoch: 0, Test loss: 2.305196038722992, Accuracy: 1498/10000 (14.98%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 1, Test loss: 0.4335914375718217, Accuracy: 8480/10000 (84.80%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
Epoch: 2, Test loss: 0.38218544957212, Accuracy: 8559/10000 (85.59%), Batch Size: 4, Total Epochs: 3, Dropout Rate: Dropout(p=0.5, inplace=False)
